X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,Y
34303,25,0.49926783,0,276.17,kOT,48,15973,kC,kM,480.73,kM,553.15,1033.88,10000,kS,1,k0,k7,34303,18330,1459,k06,k17,kD,5.15,13.99,47,kO,kN,k3,0
54705,0,0.517833724,1,442.23,kOT,28,15581,kC,kM,992,kM,854,1846,16000,kS,3,k0,k3,54705,39124,1462,k08,k10,kI,5.1,13.99,32,kO,kF,k3,0
14920,25,0.498111511,0,276.95,kOT,54,3774,kS,kM,240,kF,556,796,10000,kU,2,k0,k7,14920,11146,1466,k29,k17,kD,135.03,13.99,56,kO,kN,k3,0
24574,3,7.317537313,2,4902.75,kOT,44,0,kD,kT,330,kF,670,1000,4700,kU,1,k0,k2,24574,24574,125,k23,k10,kD,0.38,12,44,kO,kF,k3,0
31223.12,5,0.573964335,0,210.18,kOT,38,0,kS,kM,1030,kM,366.19,1396.19,6050,kU,2,k0,k2,31223.12,31223.12,1092,k04,k10,kD,0.2,14.69,37,kR,kN,k3,0
389902,20,0.219537137,0,407.9,kOT,78,0,kC,kM,300,kF,1858,2158,15000,kP,1,k0,k2,389902,389902,1454,k89,k10,kD,3815.26,13.69,77,kO,kN,k3,0
24200,10,0.308967972,3,173.64,kOT,33,2400,kC,kM,338,kM,562,900,5000,kS,2,k0,k6,24200,21800,1089,k19,k10,kD,10.96,14.69,35,kO,kF,k3,0
1500,7,0.42868205,0,110.72,kOT,63,0,kS,kM,160,kF,258.28,418.28,1500,kP,2,k0,k5,1500,1500,461,k26,k10,kD,41.95,14.69,66,kR,kF,k3,0
53000,1,0.26542522,1,90.51,kOT,25,0,kS,kM,260,kF,341,601,1000,kU,1,k0,k2,53000,53000,369,k17,k10,kD,8.13,14.69,28,kO,kF,k3,0
77315.64,6,0.25070388,1,347.27,kOT,29,26085.94,kC,kM,1039.17,kM,1385.18,2424.35,10000,kU,2,k0,k3,77315.64,51229.7,1089,k23,k10,kD,1193.97,14.69,31,kO,kA,k3,0
19369.45,5,0.449198718,1,280.3,kOT,36,3831.76,kC,kM,356,kF,624,980,10000,kP,1,k0,k5,19369.45,15537.69,1466,k72,k10,kD,100.33,14.69,39,kR,kN,k3,0
5000,14,0.701666667,2,181.03,kOT,40,0,kC,kM,230,kM,258,488,2000,kP,3,k0,k9,5000,5000,370,k22,k17,kD,7.06,14.69,43,kO,kF,k3,0
97745.29,2,0.403199426,0,281.03,kOT,67,0,kC,kM,180,kM,697,877,10000,kP,1,k0,k2,97745.29,97745.29,1470,k26,k10,kD,21.98,14.69,71,kO,kN,k3,0
23491,2,0.268616905,1,244.71,kOT,24,11715.26,kUH,kM,531,kF,911,1442,7000,kS,2,k0,k2,23491,11775.74,1106,k15,k10,kD,28.11,14.69,28,kO,kF,k3,0
7275,-1,0.478641686,0,102.19,kOT,24,1919.17,kS,kM,165,kM,213.5,378.5,2100,kS,1,k0,k5,7275,5355.83,732,k85,k10,kI,829.51,14.69,25,kO,kF,k3,0
76065.69,16,0.474655939,1,336.27,kOT,54,25835.48,kC,kM,630.76,kF,708.45,1339.21,12000,kS,1,k0,k7,76065.69,50230.21,1463,k12,k17,kD,0.11,14.69,53,kO,kN,k3,0
3000,1,0.333203083,0,187.6,kOT,25,0,kS,kM,160,kF,563.02,723.02,3000,kS,1,k0,k1,3000,3000,547,k23,k10,kD,14.56,14.69,24,kO,kF,k3,0
154000,3,0.247120761,2,415.41,kOT,33,0,kD,kM,320,kM,1681,2001,15000,kP,1,k0,k2,154000,154000,1466,k08,k10,kD,21.53,13.99,36,kO,kN,k3,1
66888,15,0.486360424,0,137.64,kOT,68,8761,kC,kM,437,kM,283,720,4000,kP,1,k0,k8,66888,58127,1098,k26,k17,kD,7.38,13.99,67,kO,kN,k3,0
60154.32,8,0.307225191,0,223.62,kOT,43,3100,kC,kM,366,kF,727.87,1093.87,8000,kP,4,k0,k6,60154.32,57054.32,1457,k22,k10,kD,700.23,14.69,46,kO,kN,k3,0
42590,2,0.196010782,1,145.44,kOT,46,9463.68,kC,kM,460,kM,742,1202,3000,kS,2,k0,k2,42590,33126.32,755,k08,k10,kD,10.66,14.69,49,kO,kN,k3,0
